41,7541
41,7119
39,9349
41,3646
40,9957
41,2373
41,6205
41,3154
40,1217
39,4068
40,7616
39,7958
41,3867
41,6914
40,2143
39,0651
40,1184
41,9701
41,2572
39,9374
39,3857
40,5417
40,6976
41,7307
40,5413
39,0118
41,851
40,0907
40,6401
39,0538
39,3974
41,6905
39,7321
40,0465
41,111
39,8046
40,0301
39,5849
41,4664
41,7583
41,9528
41,8679
40,1187
40,2516
41,0428
41,9591
41,2589
41,5585
41,7599
39,9242
40,8445
40,6017
39,1483
39,8422
39,705
41,901
39,3803
41,6927
40,5224
39,3983
40,1737
41,1169
39,6863
39,1562
39,0854
39,0551
39,025
41,9328
39,6787
40,2577
41,4103
41,6302
40,5668
39,6724
39,2386
39,6195
41,3304
40,7058
39,7858
39,9395
40,3108
40,3599
40,4382
39,3709
41,2782
40,2442
41,7978
39,3861
41,9739
39,4621
41,6626
41,9726
41,5291
40,3728
40,8824
39,3327
39,7573
39,228
40,089
40,4579
